episode,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_entropy,space_complexity
194,478,14.9375,0.1776501430264447,,16,0.07985147833824158,33795
195,370,11.5625,14.301210067100175,,15,0.5193194150924683,33795
196,262,8.1875,0.044000000110001804,,16,0.005970102734863758,33795
197,392,12.25,11.1540231025399,,16,0.36488786339759827,33795
198,232,7.25,0.011016500000165002,,16,0.6668175458908081,33795
199,342,10.6875,1.668810000158866e-05,,16,0.05471189320087433,33795
200,268,8.375,1.1440188320000002,,15,0.003269050270318985,33795
201,276,8.625,1.6566012100000008e-05,,16,0.48358431458473206,33795
202,196,6.125,1.430011000000024e-09,,16,0.008474447764456272,33795
203,414,12.9375,5.589540001328801,,16,0.30515965819358826,33795
204,360,11.25,2.5388000176232118e-05,,16,0.723415732383728,33795
205,418,13.0625,11.001664300016651,,16,0.29067933559417725,33795
206,346,10.8125,2.2660000668833007,,16,0.6161296367645264,33795
207,292,9.125,0.16501993200019804,,16,0.0024399927351623774,33795
208,388,12.125,3.4430198017601867,,15,0.256064236164093,33795
209,340,10.625,11.001650066,,16,0.04220573231577873,33795
210,528,16.5,5.6320110781176975,,16,0.026828812435269356,33795
211,294,9.1875,5.5342101650004775e-06,,15,0.17578282952308655,33795
212,274,8.5625,2.2005588000001652,,16,0.6644618511199951,33795
213,348,10.875,0.011000033785510059,,16,0.5484575033187866,33795
214,432,13.5,2.200452210020901,,16,0.09181962162256241,33795
215,424,13.25,0.0018822109901555594,,16,0.01494070328772068,33795
216,374,11.6875,10.043023102640056,,15,0.0025509591214358807,33795
217,406,12.6875,10.043889999884492,,16,0.6738165616989136,33795
218,532,16.625,0.0021065019833000436,,16,0.299405038356781,33795
219,186,5.8125,0.15587889900220006,,16,0.004266830626875162,33795
220,332,10.375,0.0014300011034210508,,16,0.05753624811768532,33795
221,362,11.3125,3.3894421016544123,,16,0.48164039850234985,33795
222,336,10.5,11.154014421014297,,16,0.04220474883913994,33795
223,432,13.5,1.2100001998701542,,16,0.6596473455429077,33795
224,416,13.0,0.0020901775598000266,,16,0.12471284717321396,33795
225,322,10.0625,0.18865001101995407,,16,0.5990159511566162,33795
226,260,8.125,0.18700000001433303,,15,0.0027802998665720224,33795
227,314,9.8125,0.00022020900011002315,,16,0.002747088670730591,33795
228,440,13.75,0.19800000187000008,,16,0.3185029625892639,33795
229,310,9.6875,0.0011000550033004402,,16,0.3210834264755249,33795
230,434,13.5625,0.1768888000088018,,15,0.0015221198555082083,33795
231,320,10.0,0.011880000000176026,,16,0.5071947574615479,33795
232,288,9.0,0.022990000330198032,,16,0.2197834849357605,33795
233,384,12.0,3.3014410005621,,16,0.178196519613266,33795
234,298,9.3125,0.25301540000003303,,15,0.33825334906578064,33795
235,376,11.75,0.044014300023101444,,16,0.5199723839759827,33795
236,340,10.625,0.1775532014300005,,16,0.00038725853664800525,33795
237,364,11.375,11.000330242002246,,16,0.12735502421855927,33795
238,216,6.75,1.1000165000165023,,16,0.03319552168250084,33795
239,326,10.1875,0.0003389332100231221,,16,0.45209211111068726,33795
240,442,13.8125,11.001320000330077,,16,0.03422306850552559,33795
241,298,9.3125,0.011330210100067472,,16,0.0029084861744195223,33795
242,394,12.3125,3.302420177444355,,16,0.00838471855968237,33795
243,370,11.5625,1.8700000056320255e-07,,16,0.6795281171798706,33795
244,348,10.875,10.032004400003423,,16,0.010439564473927021,33795
245,240,7.5,6.602318954440002,,16,0.01966232806444168,33795
246,416,13.0,1.2199000154238863e-05,,16,0.11335667967796326,33795
247,406,12.6875,0.0011000016632027503,,16,0.3088517189025879,33795
248,454,14.1875,14.455115433006725,,16,9.504357149126008e-05,33795
249,424,13.25,2.2000143022022014,,15,0.045581623911857605,33795
250,386,12.0625,0.09902107776880147,,16,0.06623303890228271,33795
251,232,7.25,0.002200176000176023,,14,0.00836790818721056,33795
252,318,9.9375,0.15609000001650003,,16,0.00010431808914290741,33795
253,254,7.9375,14.301760055013201,,16,0.41046664118766785,33795
254,472,14.75,0.002645500880154049,,16,0.6040034890174866,33795
255,362,11.3125,6.655558800117698,,16,0.03875182941555977,33795
256,348,10.875,0.07700000000025305,,15,0.31472232937812805,33795
257,438,13.6875,0.23188000000015535,,16,0.4473506808280945,33795
258,476,14.875,13.321018702310196,,16,0.7214593887329102,33795
259,204,6.375,5.588002200017755,,16,0.007165532559156418,33795
260,382,11.9375,11.121776601556498,,16,0.15661057829856873,33795
261,132,4.125,0.05533339900000046,,16,0.3594163954257965,33795
262,308,9.625,1.5499886622012284e-05,,16,0.4234861731529236,33795
263,286,8.9375,0.0013200440000010049,,16,0.329387903213501,33795
264,236,7.375,6.600017601870088,,16,0.16504907608032227,33795
265,442,13.8125,2.2000209000000006,,16,0.48472851514816284,33795
266,400,12.5,0.0023166889900000137,,16,0.670331597328186,33795
