episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
48,16,[0. 7.],,,,True,254,7.9375,14.300018788000001,-2.2222222222222223,32,1.0,1.7085209691458658e-08,0.00072479248046875,33795
49,16,[ 0. 44.],,,,True,298,9.3125,6.601760143000156,-5.0,32,1.0,0.30478429794311523,0.0009062290191650391,33795
50,16,[ 6. 44.],,,,True,334,10.4375,8.80000019800001e-06,-2.888888888888889,32,1.0,0.055987462401390076,0.0008840560913085938,33795
51,16,[ 0. 26.],,,,True,310,9.6875,0.14410660002090156,0.0,32,1.0,0.06512320786714554,0.0008885860443115234,33795
52,16,[ 0. 38.],,,,True,436,13.625,0.2530000007767554,-4.777777777777778,32,1.0,0.09679757058620453,0.0008649826049804688,33795
53,16,[17. 44.],,,,True,516,16.125,0.16610000154550192,2.111111111111111,32,1.0,0.12102767825126648,0.0007612705230712891,33795
54,16,[ 7. 12.],,,,True,488,15.25,22.088000000026398,-0.7777777777777778,32,1.0,0.10747529566287994,0.0008502006530761719,33795
55,16,[46. 23.],,,,True,422,13.1875,0.1983377001101431,0.3333333333333333,32,1.0,0.685173749923706,0.0008332729339599609,33795
56,16,[4. 0.],,,,True,264,8.25,0.24310000033000007,2.2222222222222223,32,1.0,0.005593160167336464,0.0008871555328369141,33795
57,16,[ 0. 19.],,,,True,420,13.125,8.955760166990043,-1.7777777777777777,32,1.0,0.0799529179930687,0.0007405281066894531,33795
58,16,[ 0. 12.],,,,True,394,12.3125,1.8701995554990012e-05,-3.888888888888889,32,1.0,1.912122570502106e-05,0.0007088184356689453,33795
59,16,[ 0. 18.],,,,True,168,5.25,0.18700990044000007,0.0,32,1.0,0.24654972553253174,0.0008664131164550781,33795
60,16,[ 0. 44.],,,,True,234,7.3125,0.06600002201980007,-2.3333333333333335,32,1.0,0.7165473699569702,0.0007374286651611328,33795
61,16,[ 0. 16.],,,,True,370,11.5625,19.9769956210033,0.0,32,1.0,1.762461215548683e-05,0.0027146339416503906,33795
62,16,[33.  6.],,,,True,466,14.5625,30.844000110000202,3.6666666666666665,32,1.0,0.6972504258155823,0.0008325576782226562,33795
63,16,[17. 11.],,,,True,208,6.5,3.3000011000000002,-0.5555555555555556,32,1.0,0.5698899626731873,0.0012023448944091797,33795
64,16,[11. 14.],,,,True,260,8.125,9.901980265111,2.111111111111111,32,1.0,0.34739476442337036,0.0009386539459228516,33795
65,16,[45. 28.],,,,True,400,12.5,0.177760110675587,0.2222222222222222,32,1.0,0.605454683303833,0.0007343292236328125,33795
66,16,[0. 2.],,,,True,262,8.1875,9.900000033005535,0.0,32,1.0,0.02525484934449196,0.005212068557739258,33795
67,16,[26. 44.],,,,True,286,8.9375,8.802200077231236e-06,-0.6666666666666666,32,1.0,0.2756400406360626,0.0009746551513671875,33795
68,16,[ 0. 32.],,,,True,342,10.6875,13.299018700000198,-2.7777777777777777,32,1.0,0.022991331294178963,0.0008585453033447266,33795
69,16,[25. 12.],,,,True,492,15.375,0.20966000166439905,2.111111111111111,32,1.0,0.1446734070777893,0.0014119148254394531,33795
70,16,[6. 2.],,,,True,504,15.75,33.01100454411329,0.3333333333333333,32,1.0,0.060586780309677124,0.000797271728515625,33795
71,16,[ 8. 47.],,,,True,442,13.8125,0.0014300220000015647,2.111111111111111,32,1.0,0.2922847270965576,0.0010876655578613281,33795
72,16,[ 7. 17.],,,,True,304,9.5,3.300330001650232e-06,5.111111111111111,32,1.0,0.33660995960235596,0.0008056163787841797,33795
73,16,[0. 6.],,,,True,278,8.6875,0.00011000000995500026,-2.111111111111111,32,1.0,1.3840377732776687e-07,0.0007781982421875,33795
74,16,[ 0. 19.],,,,True,366,11.4375,23.101430044003298,-2.7777777777777777,32,1.0,0.042037028819322586,0.0007848739624023438,33795
75,16,[12.  4.],,,,True,270,8.4375,0.0015565005500017604,2.111111111111111,32,1.0,0.9395121335983276,0.0007522106170654297,33795
76,16,[35. 48.],,,,True,412,12.875,25.466430132,1.3333333333333333,32,1.0,0.7995713949203491,0.0008158683776855469,33795
77,16,[14. 14.],,,,True,332,10.375,0.00011000000550022052,-0.1111111111111111,32,1.0,0.6063054800033569,0.0007374286651611328,33795
