episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
5,5,"(9, 5)",[1],32,"(3, 5)",False,192,38.4,69.069,3,5,0.4,0.36461897052027675,0.009109258651733398,2400
5,6,"(3, 5)",[1],35,"(2, 6)",False,224,37.333333333333336,69.06932,3,6,0.5,0.36746904484769194,0.009180545806884766,2400
5,7,"(2, 6)",[1],35,"(2, 9)",False,259,37.0,69.069355,3,7,0.5714285714285714,0.6530615199458937,0.009245634078979492,2400
5,8,"(2, 9)",[0],0,"(0, 0)",False,294,36.75,69.0693585,4,8,0.5,0.02418787064094437,0.009311199188232422,2400
5,9,"(0, 0)",[2],78,"(0, 3)",False,294,32.666666666666664,69.0693585,5,9,0.4444444444444444,-6.651568161894202,0.009375810623168945,2400
5,10,"(0, 3)",[2],73,"(3, 2)",False,372,37.2,69.069358578,5,10,0.5,0.09347514668638246,0.009440183639526367,2400
5,11,"(3, 2)",[2],72,"(3, 1)",False,445,40.45454545454545,69.06935858530001,5,11,0.5454545454545454,-0.515278683323982,0.009506464004516602,2400
5,12,"(3, 1)",[2],74,"(2, 0)",False,517,43.083333333333336,69.06935858602,5,12,0.5833333333333333,0.22229321744045852,0.00957179069519043,2400
5,13,"(2, 0)",[0],0,"(0, 1)",False,591,45.46153846153846,69.069358586094,6,13,0.5384615384615384,0.5888588786289719,0.009640693664550781,2400
5,14,"(0, 1)",[1],39,"(0, 3)",False,591,42.214285714285715,69.069358586094,7,14,0.5,0.19535018612375082,0.009707450866699219,2400
5,15,"(0, 3)",[0],0,"(0, 4)",True,630,42.0,69.06935858609438,8,15,0.4666666666666667,0.10174715210322724,0.009773969650268555,2400
6,0,"(5, 9)",[1],32,"(3, 5)",False,0,0,0,0,0,1,0,0.009886503219604492,2400
6,1,"(3, 5)",[0],0,"(0, 5)",False,32,32.0,32.0,1,1,0.0,0.37242856882435194,0.009950876235961914,2400
6,2,"(0, 5)",[1],37,"(1, 6)",False,32,16.0,32.0,2,2,0.0,0.49040568402530604,0.010014057159423828,2400
6,3,"(1, 6)",[1],36,"(1, 9)",False,69,23.0,32.37,2,3,0.33333333333333337,0.3677944490115133,0.010077238082885742,2400
6,4,"(1, 9)",[1],34,"(2, 6)",False,105,26.25,32.406,2,4,0.5,0.36684512097438465,0.010159969329833984,2400
6,5,"(2, 6)",[0],0,"(0, 9)",False,139,27.8,32.4094,3,5,0.4,0.664559960775803,0.010226726531982422,2400
6,6,"(0, 9)",[2],61,"(9, 7)",False,139,23.166666666666668,32.4094,4,6,0.33333333333333337,-1.762657513060408,0.010291814804077148,2400
6,7,"(9, 7)",[0],0,"(0, 5)",False,200,28.571428571428573,32.409461,5,7,0.2857142857142857,0.31166012138549704,0.010357379913330078,2400
6,8,"(0, 5)",[1],37,"(1, 1)",False,200,25.0,32.409461,6,8,0.25,0.16133387281240236,0.0104217529296875,2400
6,9,"(1, 1)",[0],0,"(0, 2)",False,237,26.333333333333332,32.40946137,7,9,0.2222222222222222,0.002995241274991968,0.01048588752746582,2400
6,10,"(0, 2)",[1],39,"(0, 0)",False,237,23.7,32.40946137,8,10,0.19999999999999996,0.2003815124388713,0.010550737380981445,2400
6,11,"(0, 0)",[0],0,"(0, 3)",False,276,25.09090909090909,32.4094613739,9,11,0.18181818181818177,-6.643897120123659,0.010614871978759766,2400
6,12,"(0, 3)",[2],72,"(3, 1)",False,276,23.0,32.4094613739,10,12,0.16666666666666663,-0.6582581099040836,0.01068115234375,2400
6,13,"(3, 1)",[2],73,"(3, 3)",False,348,26.76923076923077,32.409461373972,10,13,0.23076923076923073,-0.5571284432537398,0.01074671745300293,2400
6,14,"(3, 3)",[2],70,"(4, 1)",False,421,30.071428571428573,32.4094613739793,10,14,0.2857142857142857,0.24967246065711263,0.01081228256225586,2400
6,15,"(4, 1)",[0],0,"(0, 3)",True,491,32.733333333333334,32.40946137398,11,15,0.2666666666666667,0.009445099027183436,0.010877847671508789,2400
7,0,"(4, 4)",[1],35,"(2, 6)",False,0,0,0,0,0,1,0,0.010983467102050781,2400
7,1,"(2, 6)",[0],0,"(0, 7)",False,35,35.0,35.0,1,1,0.0,0.6663436113094918,0.011050701141357422,2400
7,2,"(0, 7)",[0],0,"(0, 5)",False,35,17.5,35.0,1,2,0.5,0.37528195937768066,0.011131763458251953,2400
7,3,"(0, 5)",[1],37,"(1, 9)",False,35,11.666666666666666,35.0,2,3,0.33333333333333337,-0.2851474193113575,0.011200904846191406,2400
7,4,"(1, 9)",[1],34,"(2, 7)",False,72,18.0,35.037,2,4,0.5,0.2639443553357107,0.011265754699707031,2400
7,5,"(2, 7)",[1],35,"(2, 7)",False,106,21.2,35.0404,2,5,0.6,0.36743774347453717,0.011330366134643555,2400
7,6,"(2, 7)",[2],63,"(8, 8)",False,141,23.5,35.040749999999996,3,6,0.5,0.6581970185725011,0.011394500732421875,2400
7,7,"(8, 8)",[2],60,"(9, 8)",False,204,29.142857142857142,35.04081299999999,3,7,0.5714285714285714,-0.2138070286978264,0.011459112167358398,2400
7,8,"(9, 8)",[0],0,"(0, 2)",False,264,33.0,35.04081899999999,4,8,0.5,-0.6583747530614661,0.01152491569519043,2400
7,9,"(0, 2)",[1],39,"(0, 4)",False,264,29.333333333333332,35.04081899999999,5,9,0.4444444444444444,-0.16628362937456714,0.011588573455810547,2400
7,10,"(0, 4)",[2],70,"(4, 4)",False,303,30.3,35.04081903899999,6,10,0.4,-1.3093161321416797,0.011653423309326172,2400
